v1,v2
personal,Give one miss from that number please
personal,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
personal,Can Ã_ all decide faster cos my sis going home liao..
personal,Ok...
personal,Gam gone after outstanding innings.
personal,K..k:)where are you?how did you performed?
business,"Almost perfect: Stockings are not easy to find where I live in Northern California and I cannot stand to wear panty hose. I decided to try these stockings that was recommended by the site I used to find a garter belt. I really like the stockings. They are darker black than the picture depicts them. I prefer off-black. The lace top is a little tight with not too much stretch, so if you have large thighs you might not like them. The next order I will order one size larger for that reason although I do not have large thighs. My husband really likes them and the fact that I like them makes him happy. I will buy more."
personal,Wait . I will msg after  &lt;#&gt;  min.
personal,Then Ã_ wait 4 me at bus stop aft ur lect lar. If i dun c Ã_ then i go get my car then come back n pick Ã_.
personal,"Yo, you at jp and hungry like a mofo?"
personal,"Alright, I'll head out in a few minutes, text me where to meet you"
business,it sounds great!~!~!~!~!: it sounds great im just wondering y it did not already have 5 stars! di u think it would be great 4 my 12 year old?
personal,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
personal,Wait 2 min..stand at bus stop
personal,yes baby! I need to stretch open your pussy!
personal,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
personal,Good morning princess! How are you?
personal,Finally the match heading towards draw as your prediction.
personal,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
personal,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
personal,K...k...yesterday i was in cbe .
personal,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
personal,Apps class varaya elaya.
personal,"Yup, no need. I'll jus wait 4 e rain 2 stop."
personal,"Yeah, probably earlier than that"
personal,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
personal,Jay's getting really impatient and belligerent
business,"So much better than the apple version!: I love it, it's LONG and the connection is secure and it doesn't get hot! It's wonderful!"
personal,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
personal,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
personal,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
personal,"\Thinking of u ;) x\"""""
personal,"Yeah, that's fine! It's Â£6 to get in, is that ok? "
personal,U wan 2 haf lunch i'm in da canteen now.
personal,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
personal,Ok... U enjoy ur shows...
personal,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
personal,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
business,"The book was boring, because of its victorian ideals.: Tess was a very boring book. From an analytical point, the book's major theme was FATE. However, you must be interested in the victorian era, in order to enjoy the book. It is the same thing with the Scarlet Letter, to enjoy the book you must know about the time era. The problems that the characters are faced with in the book are laughable by todays standards."
business,ok...: this book was recommend 2 me from my neighbor. but i dont think that dis is dat gud of a book 2 recommend... i didnt like it 2 much but...
personal,Were trying to find a Chinese food place around here
personal,Anything lar then Ã_ not going home 4 dinner?
personal,"Alright if you're sure, let me know when you're leaving"
personal,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
personal,Nope i'll come online now..
business,"Perfect Family Fun!!!: This is a very funny movie that stars Martin Short as Murray, a bumbling fairy god-mother who can hardly do anything right. His first job is helping Anabel Greening, played by Mara Wilson. Anabel's wish is that her dad is auditioning for a part in a broadway musical, and she wants him to get the part. Unfortunately, Murray accidentally turns her dad into a statue. When Anabel, her brother Charlie, and Murray go to NAFGAa and tell the Queen of the Fairy Godmothers what happened, she tells Anabel that if they don't reverse the spell by midnight, he will remain a statue forever. Before they can do that, they have to get the wands back from the evil Claudia. I highly recommend A SIMPLE WISH!!!"
personal,"Oh... Icic... K lor, den meet other day..."
personal,Lol. Well quality aint bad at all so i aint complaining
personal,"Aight I'll grab something to eat too, text me when you're back at mu"
personal,I am late. I will be there at
personal,"Don't Think About \What u Have Got\"" Think About \""How to Use It That You Have Got\"" gooD ni8"""
personal,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
personal,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
personal,Not a drop in the tank
personal,Its sarcasm.. .nt scarcasim
personal,Nice.nice.how is it working?
personal,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
personal,If You mean the website. Yes.
personal,There is a first time for everything :)
personal,Gd luck 4 ur exams :-)
personal,It's Ã© only $140 ard...Ã‰ rest all ard $180 at least...Which is Ã© price 4 Ã© 2 bedrm ($900)
personal,"I'm not coming over, do whatever you want"
personal,You could have seen me..i did't recognise you Face.:)
personal,You call him now ok i said call him
personal,I know she called me
personal,This weekend is fine (an excuse not to do too much decorating)
personal,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
personal,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
personal,Just sleeping..and surfing
personal,Wow v v impressed. Have funs shopping!
business,"Maybe next time...: I, like a lot of people writing reviews, play a lot of first person shooters. If you liked Splinter Cell, buy TRAOD USED!!! I agree with everyone here...story is good, controls are less than mediocre. Even Enter the Matrix blew this game away. Customizing the keyboard helps some, but less than what I expected. I tried to leave feedback for EIDOS, but to no avail. Hopefully, if there is another one it will be in beta for a lot longer. And for those of you out there who think that it might be my pc, I can assure you that is NOT the case."
personal,"Yo my trip got postponed, you still stocked up?"
personal,Wot about on wed nite I am 3 then but only til 9!
personal,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
personal,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
personal,"I'm a guy, browsin is compulsory"
personal,"And that's fine, I got enough bud to last most of the night at least"
personal,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
personal,Just come home. I don't want u to be miserable
personal,Can you open the door?
personal,Ok i go change also...
personal,I don't know but I'm raping dudes at poker
personal,I dont thnk its a wrong calling between us
personal,Why she wants to talk to me
personal,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
personal,Haha i think i did too
personal,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
personal,Ok. But i finish at 6.
personal,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
personal,Wishing you a wonderful week.
personal,Nvm take ur time.
business,"True Nirvana sucks: I'll tell you what's REALLY in the spirit of the band: that FBI seal and warning on the back cover that states that any and all duplications of the cd are illegal. Not that anybody would enjoy a duplication anyway. If this is true Nirvana, then true Nirvana sucks."
personal,If u sending her home first it's ok lor. I'm not ready yet.
personal,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
personal,Dunno y u ask me.
personal,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
business,Angel of darkness is correct: This game is the angel of darkness - THe control system is impossible - The menu screens are ridiculous and bulky to manage - I have played all the tomb raider games - This one is near to unplayable - This thing went straight to EBAY - save your money for something good - THE TR people need to do something fresh with this character like send her to space or something - jeez - the franchise is getting old and stale due to lack of innovation and change.
personal,O. Well uv causes mutations. Sunscreen is like essential thesedays
personal,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
personal,You getting back any time soon?
personal,Erm. I thought the contract ran out the4th of october.
personal,Nobody can decide where to eat and dad wants Chinese
personal,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
business,"Doublecharged for shipping because merchant was backordered: Merchant was out of stock on the second pair of pants, so when it was shipped I was charged $9 again when the second pair was in stock weeks later.Will not buy from Amazon vendors again."
personal,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
personal,Well good morning mr . Hows london treatin' ya treacle?
business,"very disappointing: The movie is vulgar and not meant for children. It is a typical Adam Sandler movie, with foul language and raunchy humor. Not enjoyable at all."
personal,i dnt wnt to tlk wid u
personal,Dear where you. Call me
personal,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
personal,Ha... U jus ate honey ar? So sweet...
personal,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
personal,Thanks for looking out for me. I really appreciate.
personal,U can call me now...
personal,ILL B DOWN SOON
business,"Excessive Typos Ruined it for Me: Couldn't agree more w/ Prendergast's review concerning the laughable typos. I thought the proof reader or editor of the version I had must be abusing drugs themselves! How distracting to read a so called classic and find it reading like a HS sophomore paper - and a drunk sophomore at that! I somehow managed to finish the book, but came on Amazon immediately following it to see if others read the same erroneous version. Weird. Typos, poor punctuation, etc. ruined it for me."
personal,Moji just informed me that you saved our lives. Thanks.
personal,Take some small dose tablet for fever
business,"excellent book for the novice improviser to the instructor: Izzy does a great job of making the format of the book simple yet engaging. His explaination of the games with goals, group size, time, process and variations for each of the games is very helpful. It is written so that a sales team leader could pick it up and have some great games to get his/her team thinking creatively, working on teamwork and self confidence. My only complaint as a past performer and current instructor is that it isn't long enough. Write another."
personal,Mm have some kanji dont eat anything heavy ok
personal,Dun need to use dial up juz open da browser n surf...
personal,Me too baby! I promise to treat you well! I bet you will take good care of me...
personal,What happened to our yo date?
personal,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
personal,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
personal,"Sorry, I'll call later"
personal,"Thursday night? Yeah, sure thing, we'll work it out then"
personal,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
personal,what are your new years plans?
personal,You'll never believe this but i have actually got off at taunton. Wow
personal,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
personal,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
business,"None: Awesome.... simply awesome. I couldn't put this down and laughed, smiled, and even got tears! A brand new favorite author."
personal,Yup ok...
business,"Not!: If you want to listen to El Duke , then it is better if you have access to his shower,this is not him, it is a gimmick,very well orchestrated."
personal,Not course. Only maths one day one chapter with in one month we can finish.
personal,Yesterday its with me only . Now am going home.
personal,Dude we should go sup again
personal,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
personal,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
personal,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
personal,Don't necessarily expect it to be done before you get back though because I'm just now headin out
personal,Aight should I just plan to come up later tonight?
personal,Wat time Ã_ finish?
personal,I'm really not up to it still tonight babe
personal,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
business,awful: Big waste of money! After washing noticed 1 pillow case was a different shade and so wrinkled no matter what I've tried. Stuck with it since I washed and can't find packaging.
personal,Today my system sh get ready.all is well and i am also in the deep well
personal,"Just sent you an email â€“ to an address with incomm in it, is that right?"
personal,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
personal,No problem baby. Is this is a good time to talk? I called and left a message.
personal,When can Ã_ come out?
personal,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
personal,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
personal,Yes.i'm in office da:)
personal,"Now, whats your house # again ? And do you have any beer there ?"
business,"The perfect movie, for a 12 yr old: I gave it one star because the website doesn't allow it to go any lower, and, for all the effort put in by the computer animation team. Other than that, this movie should be negative 1 star.The plot and sequences does not make any sense what so ever. To list a few; teleporting another planet into earth's atmosphere? Really? Optimus prime getting trapped in a bunch of cables for 20mins of the movie? High tech alien robotic race ends up fighting with shields, swords, and axes?There's literally some plot hole or something that does not make sense every 5minutes of the movie, throughout the ENTIRE thing. If you thought the second movie was ridiculous, wait until you see this.The only reason to watch this movie is if you want to leave your brain dead for 2hours and watching flashy robots transform and fire rockets at random things. Besides that, please do yourself a favor and do something more productive with the extra 2 hours of your life."
personal,"Its ok, called mom instead have fun"
personal,Right it wasnt you who phoned it was someone with a number like yours!
personal,Just sent it. So what type of food do you like?
personal,En chikku nange bakra msg kalstiya..then had tea/coffee?
personal,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
personal,;-) ok. I feel like john lennon.
personal,I am late. I will be there at
personal,Rats. Hey did u ever vote for the next themes?
personal,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
personal,No da if you run that it activate the full version da.
business,"Excellant movie and seller: I saw this movie when it first came out, it was hauntingly beautiful. I am so happy to get it on DVD. Some may find it a little slow in areas, but I loved it. If you appreciate the work of David Lean, and the acting of Sarah Miles and Robert Mitchum, then you will love this. It ranks right up there for me with Dr. Zhivago, which I also had the pleasure of seeing when it first came out on the big screen. A wonderful epic movie. The seller was extremely prompt and made the purchase feel as though I was buying from a friend. Way to do business!!"
personal,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
personal,Well welp is sort of a semiobscure internet thing
personal,I'm in a movie. Call me 4 wat?
personal,That was random saw my old roomate on campus. He graduated
personal,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
personal,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
personal,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
personal,How are you holding up?
personal,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
personal,I'm hungry buy smth home...
personal,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
personal,"Merry Christmas to you too babe, i love ya *kisses*"
personal,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
personal,PS U no ur a grown up now right?
personal,Great! How is the office today?
personal,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
personal,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
personal,Of course. I guess god's just got me on hold right now.
personal,"Sorry, I'll call later"
personal,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
personal,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
personal,here is my new address -apples&pairs&all that malarky
personal,Yes i have. So that's why u texted. Pshew...missing you so much
business,"elem diff e-q's: While the shipping was AMAZING, the book itself is not much use other than as a list of problems. The text explaining the theory behind is written like sandpaper and often jumps around leaving important processes out. It would be a very hard book to use as a solo resource w/o an instructor leading."
personal,We have to pick rayan macleran there.
personal,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
personal,"Sorry, I'll call later"
personal,Thanx 4 sending me home...
business,"Not What I'd Hoped For: I had expected, or at least hoped for, a more or less straightforward account of the Mothman phenomenon of some 30 years ago. Instead, this meandering book comprises hick UFO sightings that are only infrequently connected with Mothman, and Keel's trust-me-I- know-what-I'm-talking-about theories and explanations. I was particularly dismayed by seemingly endless accounts of men (in black) behaving badly. With little to recommend it (and aside from providing some details on the Mothman sightings, there's no other recommendation), The Mothman Prophecies is a considerable disappointment."
personal,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
personal,You can jot down things you want to remember later.
personal,What you doing?how are you?
personal,When should I come over?
personal,Am only searching for good dual sim mobile pa.
personal,Yes see ya not on the dot
personal,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
personal,I cant pick the phone right now. Pls send a message
personal,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
personal,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
personal,Did u fix the teeth?if not do it asap.ok take care.
business,"Asimow is one of the best writers of all times: Foundation, and all the other books that complete the extense colection are wonderful. I remember when i read this book 8 years ago, and as you see i still love it. If you don't want to read all the books of the series, you don't have to do it, the saga of foundation it's only three books (foundation, foundation and Empire, and Second Foundation), but if you want to read a good, good, GOOD,GOOOOOOOOOOD series of books, read them all, you won't regret it. I really loved all this books."
personal,Yeah I'll try to scrounge something up
personal,Update your face book status frequently :)
personal,I dont understand your message.
personal,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ã_ cut ur hair. 
personal,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
personal,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
personal,God bless.get good sleep my dear...i will pray!
personal,Lol they don't know about my awesome phone. I could click delete right now if I want.
personal,Dude how do you like the buff wind.
personal,(You didn't hear it from me)
personal,Rofl betta invest in some  anti aging products
personal,Oh god..taken the teeth?is it paining
personal,Sorry i'm not free...
personal,Ok...
personal,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IÂ’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.\"""""
personal,COME BACK TO TAMPA FFFFUUUUUUU
personal,\CHA QUITEAMUZING THATÂ’SCOOL BABE
personal,Aiyo cos i sms Ã_ then Ã_ neva reply so i wait 4 Ã_ to reply lar. I tot Ã_ havent finish ur lab wat.
personal,Send me your id and password
personal,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
personal,Simply sitting and watching match in office..
personal,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
personal,"Thanx 4 the time weÂ’ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
personal,I dont thnk its a wrong calling between us
personal,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
personal,Havent.
personal,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
personal,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
personal,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
personal,Yeah but which is worse for i
personal,My sister cleared two round in birla soft yesterday.
personal,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
personal,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."""
business,"LIvely Experimental Synthesizer Jazz with Global Fusion: This CD has instrumental experimental Jazz and near trance synthesizer pieces. Some of the rhythm patterns have a Latin flavor and feel very danceable. Others remind me of chill out lounge music. A few selections have some subdued vocals that are more part of the background rather than the foreground. I enjoyed the selections and liked working with them in the background. I have not heard the other volumes in the series and so I cannot compare them with each other. My only reservations about this collection is that the mood between selections is not always consistent, some are more mellow and some are more lively. But the mood of the CD is more consistent than a lot of collections I have heard. Some of the pieces are more experimental than the others and are interesting studies. Two of them felt slightly dissident to me, but the experimental sound still felt worth hearing."
personal,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
personal,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night"""
business,"Its a cable: Its a cable, it works, what else do you want? I know its not the cheapest one out there, but this one says sony on it. Yea!! But, I am a true believer that you only get what you pay for. Im sure its better quality than the five dollar version at the flea market. who knows, but I sure feel all warm and fuzzy about getting quality sony products."
personal,Now got tv 2 watch meh? U no work today?
personal,"Aight, I'll text you when I'm back"
personal,Dont gimme that lip caveboy
personal,She ran off with a younger man. we will make pretty babies together :)
personal,jay says he'll put in  &lt;#&gt;
business,DVD review: Very good comprehensive review on The Band. Gives good insight into the individual members and why some of their songs were written. A good addition to my collection.
personal,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ãœ got a lot of work ar?
personal,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
personal,Yes its possible but dint try. Pls dont tell to any one k
personal,Wewa is 130. Iriver 255. All 128 mb.
personal,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
personal,"Sorry, got a late start, we're on the way"
business,"non stop adventure: This was a great and is very magical. A young boy's nanny is leaving and gives him a small castal as a going away present but it turns out that the night that came w/the castal is a real night that has been shrunken and turned to stone. The young boy breaks the spell that an evil sorcerer has put on the night and goes back to his time to stop the wrong that the sorcerer is doing. Will he stop the evil sorcerer or will the evil sorcerer stop him, you will find out in this incredible story of magic and adventure!!!"
personal,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
personal,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
personal,Ill call you evening ill some ideas.
personal,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
personal,"K, wat s tht incident?"
personal,K..k..any special today?
personal,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
personal,Send me the new number
personal,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
business,"Been waiting for a foreign lauguage AOL CD?: I have, too, but this isn't it. The translation is very choppy, the singers are medicore at best, and the orchestrations are too overwhelming. Love Changes Everything is shredded to the point where it hurts to listen to it.Oddly, the best song is the French Chanson d'Enfance.I was very surprised, as the Japanese usually put out extramely good cast CDS. Their CATS and Phantom and the Tokoyo Evita are all great. But unless you are a total ALW or AOL fanatic, save your money."
personal,"Yes but i dont care! I need you bad, princess!"
personal,Whom you waited for yesterday
personal,Great comedy..cant stop laughing da:)
personal,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
personal,I'm thinking that chennai forgot to come for auction..
personal,I cant pick the phone right now. Pls send a message
personal,"Lets use it next week, princess :)"
personal,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
personal,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
personal,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
personal,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
business,"Used for circuits project: I used the generator for a circuits project and it works pretty well with little resistance, however the wire connections seemed cheap and very loose. I would recommend buying a battery powered one with rechargeable batteries if you're worried about the environment."
personal,May i call You later Pls
personal,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
personal,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
personal,THANX 4 PUTTIN DA FONE DOWN ON ME!!
personal,"Just checked out, heading out to drop off my stuff now"
personal,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
personal,Sounds great! Are you home now?
personal,I will reach ur home in  &lt;#&gt;  minutes
personal,Ok good then i later come find Ã_... C lucky i told Ã_ to go earlier... Later pple take finish Ã_ no more again...
personal,I just really need shit before tomorrow and I know you won't be awake before like 6
personal,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
personal,Hey r Ã_ still online? I've finished the formatting...
personal,Hey i've booked the 2 lessons on sun liao...
personal,"Sorry my roommates took forever, it ok if I come by now?"
business,"Lara should have remained in the tomb: I was so looking forward to this game being released, I was on the internet on a weekly basis looking for a new release date. Delay after delay. I bought the game the day of it's release. Loaded it onto my computer, and was ready to play. I had one disappointment after another. First, the controls were different from her other games. OK I will get use to the new ones. Second, and the biggest. Controlling her is virtually impossible. She is jerky, sporadic, and down right slow and awkward. I have had to reload the game about 20 times to get her to do a simple maneuver. I have given up many times in shear frustration. Frustration I haven't felt in her other games. I do not think I will continue playing this game. It is time to move on and enjoy myself with another game, which is what games are all about. Sorry Core and Eidos, this could be your biggest mistake especially now that the movies are doing so well. What a boost this could have been for you."
personal,Ok. Me watching tv too.
personal,K.k:)apo k.good movie.
personal,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\"""""
personal,Oh k. . I will come tomorrow
personal,My planning usually stops at \find hella weed
personal,Then u going ikea str aft dat?
personal,I can't make it tonight
personal,I am in your office na.
business,"More Fiction than fact: Donal Cline clearly demonstrates his inability to distinguish fact from fiction. I find his book to be biased (towards the Murphy-Dolan faction), poorly researched (claiming that Billy the Kid was known as Michael McCarty), and his findings to be very questionable (presents evidence without veryfiable sources.)After reading this book I asked myself why did Cline write this book? He seems to not think to much of Billy the Kid so why write a book about him? Why not stick to your true passion and write a documentary about James Dolan and L.G. Murphy."
personal,"Well, I meant as opposed to my drunken night of before"
personal,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
business,"Good politics, but no science: The book starts with an enticing psychohistory idea, but then it dives deep into politics. It is quite interesting to read the ingenious solutions for the crises taken by the great leaders of the Foundation, specially for resigning war whenever it seemed the most sensible way out.The problem is that this book is supposed to be science fiction, yet the story seemed to have happened back in the mercantilism period in the XVII century, with its priests, kings, viceroys and merchant ships trading raw materials for manufactured goods. The gadgets used by the traders to fool the other empires are a bit silly as well, for a far future based science fiction."
personal,Wat r u doing?
personal,I will be outside office take all from there
personal,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
personal,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
personal,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
personal,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
personal,Yup i'm elaborating on the safety aspects and some other issues..
personal,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
personal,Many more happy returns of the day. I wish you happy birthday.
personal,Excellent! Wish we were together right now!
personal,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
personal,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDÂ’S LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\"""""
personal,None of that's happening til you get here though
personal,Yeah sure I'll leave in a min
